Device,Wattage (W),Quantity,Hours/Day,Days/Month,Energy (kWh/Month)
Water Cooler,1386,2,6.8,20,377.52
LED Light,40,15,3.9,27,63.74
Printer,1761,5,8.9,11,858.94
Ceiling Fan,12,11,10.5,26,36.2
Tube Light,1500,4,2.6,21,325.32
Fridge,1939,17,5.1,23,3837.7
Lab Equipment,232,7,2.8,12,53.9
Projector,537,19,4.7,15,716.44
Lab Equipment,1685,1,11.3,24,458.33
Heater,1069,2,9.5,30,606.34
Water Cooler,1778,9,2.8,16,712.12
Projector,1000,3,9.7,28,816.94
Lab Equipment,1152,16,5.3,12,1169.37
LED Light,1201,10,7.4,18,1595.57
Projector,1867,17,1.9,15,922.78
Ceiling Fan,1115,12,4.2,17,946.76
Heater,660,16,4.3,22,998.53
Water Cooler,1663,16,2,15,808.5
Lab Equipment,1693,18,1.6,24,1171.73
WiFi Router,1299,6,5.2,10,407.06
Water Cooler,1962,20,1.3,27,1393.88
Fridge,944,15,2.1,24,714.3
Heater,799,5,8.1,20,646.86
LED Light,772,1,1.7,19,24.71
Ceiling Fan,609,12,4.9,23,815.38
Fridge,1714,13,8.8,18,3538.72
Water Cooler,803,18,3.5,30,1509.75
Smartboard,1500,4,1.5,11,95.71
AC (1.5 Ton),1781,16,2.3,12,801.32
Projector,572,2,10.1,22,253.3
Smartboard,288,17,2.7,18,234.44
Projector,345,20,8.3,27,1541.35
Computer,154,2,8,14,34.45
Projector,986,8,9,15,1062.12
Water Cooler,1507,8,3.4,10,404.46
Ceiling Fan,1187,17,4.4,27,2383
Lab Equipment,1593,18,11.5,13,4297.35
Water Cooler,1397,12,4.6,12,918.36
Tube Light,1019,6,10.2,15,938.83
AC (1.5 Ton),1668,18,11.3,20,6799.85
AC (1.5 Ton),1305,13,5.7,28,2716.62
LED Light,948,18,5.8,19,1896.18
LED Light,954,12,9.8,22,2471.28
Projector,467,13,5.9,13,462.88
Heater,231,16,1.8,26,175.39
Printer,412,13,1.1,26,151.19
WiFi Router,895,3,11,11,325.26
Tube Light,1820,17,4.8,15,2212.63
Computer,1783,17,7.7,11,2560.16
Heater,289,12,3.6,10,125.08
Fridge,241,2,6.2,25,75.14
Tube Light,1366,8,3.4,23,863.74
WiFi Router,321,15,10.7,21,1077.37
Fridge,647,14,2.5,16,361.4
Projector,66,4,1.2,24,7.49
Printer,1029,2,6.7,12,165.81
Smartboard,1196,7,5.3,11,489.02
Printer,1099,16,4.2,12,882.75
Tube Light,856,17,7,14,1435.53
AC (1.5 Ton),1720,18,5.8,14,2518.3
Projector,889,11,3.9,30,1132.29
Heater,1736,17,5.8,20,3448.16
Fridge,891,3,9.3,13,323.12
WiFi Router,1775,4,4.2,26,776.41
Tube Light,873,11,11.4,28,3057.85
Printer,1708,17,7.1,19,3927.96
Fridge,40,12,4.1,24,47.79
AC (1.5 Ton),1587,18,5,13,1857.97
Projector,1204,3,10.1,30,1096.21
WiFi Router,472,12,2.1,25,301.38
AC (1.5 Ton),121,4,11.3,29,159.25
WiFi Router,293,12,8.7,28,852.45
Heater,1606,3,2.5,22,264.95
Fridge,860,12,7.5,18,1392.87
Ceiling Fan,414,18,11.3,30,2526.52
Heater,312,5,10.1,26,410.54
Heater,1732,10,11.1,29,5592.39
Heater,884,9,4.7,21,792.26
Heater,1744,20,11.5,23,9188.5
Computer,1629,10,7.1,27,3103.63
Projector,853,20,5.5,22,2053.22
Smartboard,1863,14,9.9,30,7761.48
Water Cooler,1510,14,2.9,10,616.11
Fridge,1072,3,7.2,27,622.67
Smartboard,1422,4,11,25,1570.11
AC (1.5 Ton),303,10,9.8,28,827.24
Smartboard,574,5,10.2,30,877.99
LED Light,1790,18,2.8,27,2460.59
Water Cooler,1658,9,1.6,26,620.53
AC (1.5 Ton),1460,10,7.4,27,2919.87
Printer,1223,14,9.1,29,4522.47
Tube Light,753,6,10,24,1083.65
Ceiling Fan,980,14,8.7,15,1799.88
Heater,574,8,3.3,13,196.28
Lab Equipment,1349,11,7.8,27,3109.01
Fridge,1080,15,11.1,24,4314.42
LED Light,1716,11,7.5,30,4244.05
Tube Light,842,14,8.9,24,2531.06
Heater,1634,7,2.3,10,258.96
Projector,1627,3,7,11,377.38
Printer,421,20,10.9,18,1658.34
Tube Light,1414,2,1.4,28,108.71
Water Cooler,1011,14,9.9,24,3351.22
Lab Equipment,202,8,6,17,163.57
WiFi Router,1347,6,7.4,15,902.81
Heater,1217,11,3.8,12,605.74
AC (1.5 Ton),155,2,7.8,10,24.26
WiFi Router,1432,8,11.4,26,3395.41
Smartboard,1858,17,7.5,30,7116.51
Printer,1293,11,5.3,12,902.4
Printer,1087,18,8,21,3280.62
Lab Equipment,1146,12,7.4,10,1015.51
Computer,1798,10,9.9,18,3218.81
Smartboard,1671,14,9.6,17,3805.67
Projector,955,19,3.2,15,871.8
Projector,1760,6,8.2,16,1392.94
Lab Equipment,1327,1,7.9,27,283.81
Fridge,412,15,4.7,12,346.89
Lab Equipment,351,16,3.2,28,503.34
Computer,609,3,3.3,22,134.36
Computer,229,4,10.4,15,143.16
Ceiling Fan,868,1,9,30,234.28
Ceiling Fan,1074,12,6.8,27,2369.1
Smartboard,1725,7,9.6,13,1512.21
Heater,1961,10,9.7,16,3042.08
AC (1.5 Ton),474,10,9.5,21,941.86
Printer,1621,17,5.3,25,3659.42
Lab Equipment,925,9,3.8,20,628.15
AC (1.5 Ton),1088,17,2,15,551.11
AC (1.5 Ton),1880,11,10.7,26,5740.84
AC (1.5 Ton),1428,5,5.1,13,474.33
Projector,766,5,5,29,560.33
LED Light,322,18,3.1,21,375.77
Lab Equipment,1255,13,9.1,20,2959.83
Lab Equipment,1456,7,9.8,24,2392.71
LED Light,302,9,1.1,12,35.44
Water Cooler,1186,3,1.7,27,164.56
Water Cooler,863,8,2.1,24,347.74
AC (1.5 Ton),1759,4,5.9,10,416.21
Heater,1287,5,4.3,26,714.77
Smartboard,1069,14,3.7,17,935.06
Projector,1923,7,5,22,1485.37
Fridge,1695,13,8.3,10,1821.78
WiFi Router,998,14,9.3,27,3511.09
Computer,1095,20,6,25,3273.03
Smartboard,490,14,11,24,1807.03
Heater,1125,9,1.4,22,310.07
Heater,245,11,8.6,17,394.79
WiFi Router,1430,4,6.5,15,560.77
Projector,646,18,8.2,20,1907.05
Water Cooler,1091,3,6.2,13,265.35
Tube Light,181,20,10.9,21,828.66
Projector,132,15,2.6,21,107.8
Heater,352,15,5.2,24,663.64
Ceiling Fan,1289,6,11.6,16,1441.26
Smartboard,308,10,3.7,16,182.84
Ceiling Fan,301,1,5.7,10,17.22
Computer,1050,12,10.4,18,2353.01
Printer,1294,19,10.3,17,4313.91
WiFi Router,560,8,7.8,25,875.7
Lab Equipment,491,10,10.1,14,692.45
Projector,129,20,8.8,28,637.15
Fridge,1604,20,4.4,28,3929.39
Heater,168,16,8.5,29,664.79
Computer,1909,3,11.6,16,1065.94
Printer,591,19,3.5,16,620.27
LED Light,968,4,7.5,27,785.43
Printer,1308,7,10.9,25,2484.99
LED Light,1694,3,11.3,20,1151.58
WiFi Router,1154,19,5.3,18,2083.38
Tube Light,1627,3,8.2,27,1081.42
Heater,432,20,10.8,11,1027.84
Printer,1498,7,6,14,888.15
Tube Light,889,19,1.6,25,681.32
AC (1.5 Ton),10,7,2.3,13,2.13
Fridge,304,2,9.7,27,159.54
Lab Equipment,376,14,11.8,17,1057.98
WiFi Router,1707,18,6.6,13,2656.02
Fridge,1079,13,3.6,20,999.52
Lab Equipment,620,6,6.8,14,352.6
Ceiling Fan,1476,3,4.7,27,558.5
Water Cooler,985,7,2.4,28,470.3
Projector,905,5,2.3,26,268.72
WiFi Router,1442,10,4.1,24,1418.59
AC (1.5 Ton),43,2,3.8,17,5.54
Water Cooler,1252,13,10.1,21,3456.77
Printer,333,3,1.9,19,36.51
Computer,748,10,7.9,11,648.78
Fridge,1205,15,6.4,15,1738.81
AC (1.5 Ton),341,2,6.7,16,73.41
Printer,1021,10,5.5,18,1012.38
Water Cooler,1795,20,5.6,19,3816.75
Projector,760,6,1.3,21,124.6
Printer,1106,16,6.4,18,2031.32
Lab Equipment,320,4,9.5,19,231.62
Smartboard,1736,8,6.8,29,2758.66
Tube Light,352,3,5.8,12,73.14
Printer,712,9,6.3,24,967.02
Ceiling Fan,1091,17,3.1,21,1206.28
Smartboard,751,13,8.5,18,1491.11
Tube Light,472,5,4.4,22,229.19
Lab Equipment,1293,13,11.9,16,3187.18
Smartboard,545,10,6.1,13,428.77
Heater,519,14,5.9,30,1277.99
Computer,1401,16,5.9,13,1727.13
Tube Light,803,8,2.8,29,521.88
Lab Equipment,1942,12,4.8,20,2220.03
Lab Equipment,249,13,9.9,15,479
Heater,315,11,10,16,552.91
Projector,1323,12,1.8,18,516.5
Projector,788,10,8.9,12,838.46
Projector,1889,6,2.5,20,555.67
Printer,60,12,1.2,19,16.54
Printer,591,2,8.7,27,278.41
Ceiling Fan,440,18,6.4,30,1527.52
WiFi Router,1089,3,5.7,17,317.83
Computer,1487,2,8,26,619.01
LED Light,1560,7,1.2,24,312
WiFi Router,522,3,2.2,17,58.63
Ceiling Fan,600,4,5.3,21,267.04
Water Cooler,1986,4,2.7,12,260.11
Lab Equipment,695,11,7.6,28,1635.6
Printer,322,14,5.2,23,537.63
AC (1.5 Ton),1341,14,5.7,13,1391.54
Water Cooler,1284,6,2.5,23,445.1
LED Light,1018,12,3.5,23,979.19
Ceiling Fan,783,4,6.6,15,308.36
Projector,1199,6,5.5,21,832.17
Water Cooler,1066,10,1.2,19,238.45
Heater,1261,11,4.5,22,1387.76
Heater,156,17,3.6,23,217.41
Fridge,150,7,4.6,26,125.53
Fridge,1020,4,11.3,22,1011.57
Fridge,109,3,8.6,23,64.79
Fridge,410,19,8.6,23,1534.07
Water Cooler,781,10,3.3,14,362.02
Lab Equipment,1775,3,4.3,27,616.18
Fridge,732,17,9.4,21,2445.02
AC (1.5 Ton),1861,2,4.6,17,293.51
Tube Light,1770,6,6.9,25,1830.25
Ceiling Fan,1409,2,12,14,473.31
Computer,358,5,2,20,71.9
Heater,1813,10,7.5,27,3664.49
Ceiling Fan,1919,14,3.8,14,1433.84
AC (1.5 Ton),967,10,1.1,19,197.02
Water Cooler,42,19,3.8,16,48.22
Water Cooler,1057,5,11.3,26,1557.73
Ceiling Fan,1645,8,11.5,16,2413.34
LED Light,1621,19,2.2,21,1441.51
Tube Light,1394,9,6.6,15,1240.78
AC (1.5 Ton),832,5,9.9,14,576.36
Fridge,833,13,7.5,17,1388.98
Lab Equipment,320,13,2.1,16,141.68
Fridge,685,14,3,11,319.62
Heater,1816,19,3.5,14,1714.32
LED Light,1764,13,2.1,22,1035.82
AC (1.5 Ton),1322,6,11.8,16,1494.82
Tube Light,1432,20,9.5,21,5727.14
Ceiling Fan,1236,17,9.5,12,2397.48
Printer,1155,1,9,27,282.16
Lab Equipment,1985,10,7.2,14,1988.66
Printer,415,1,2.8,27,31.09
Printer,628,12,7.6,28,1601.9
AC (1.5 Ton),1553,7,11,10,1195.79
WiFi Router,1059,1,3.2,26,88.67
Projector,440,7,7.3,24,538.65
Lab Equipment,1096,3,5.7,27,502.27
Fridge,232,15,7.3,12,305.15
Projector,1165,19,9.3,23,4740.5
LED Light,1054,15,6.7,11,1165.07
Fridge,53,7,4,29,42.67
Fridge,94,19,9.3,13,216
LED Light,474,15,2.6,19,351.78
Printer,1616,5,7.8,17,1072.36
Projector,1904,13,6.4,27,4284.16
Ceiling Fan,81,18,6.4,25,231.83
Smartboard,714,17,6.5,15,1180.14
LED Light,240,8,1.1,15,32.33
Fridge,440,9,9,23,817.39
Tube Light,1167,5,6.9,26,1045.21
Fridge,1121,1,4.6,11,56.7
Computer,977,18,8,15,2114.27
Printer,1116,2,4,13,117
Fridge,457,9,5.1,25,528.67
Water Cooler,991,9,6.4,28,1599.91
Smartboard,337,10,10.5,16,564.29
Fridge,686,5,1.7,17,100.18
WiFi Router,542,11,1.5,10,86.84
Ceiling Fan,119,8,11.2,28,298.47
WiFi Router,1801,6,1.6,28,486.91
Heater,603,8,1.5,25,181.52
Water Cooler,1251,6,4.4,12,391.87
LED Light,1712,20,4.3,25,3699.58
Heater,1011,20,2.8,14,802.75
Ceiling Fan,1740,19,4.4,25,3644.99
Ceiling Fan,1816,17,10.4,16,5151.51
Fridge,1554,20,7.7,10,2379.58
WiFi Router,886,13,6.2,28,1998.17
Lab Equipment,1973,11,4.9,29,3072.41
AC (1.5 Ton),609,7,2.9,13,162.34
Computer,930,4,2,20,150.07
Smartboard,405,17,5.1,19,670.79
Heater,1875,6,9.7,11,1199.05
Heater,539,18,6,13,758.34
AC (1.5 Ton),107,17,5.2,18,171.6
Heater,482,8,9.4,29,1051.55
Tube Light,1949,10,9.9,30,5800.61
Lab Equipment,771,11,10.9,10,927.39
Fridge,1407,8,7.5,24,2036.2
Water Cooler,133,17,3.2,24,171.36
Computer,896,9,1.7,25,338.51
Smartboard,314,8,6.2,14,217.09
Ceiling Fan,392,12,3.8,14,249.43
Fridge,1607,5,2.2,28,504.7
Printer,116,7,8.4,22,149.4
LED Light,34,17,2.9,24,39.58
WiFi Router,546,16,6.6,26,1493.62
Projector,1796,6,4.8,29,1510.52
Tube Light,797,13,5.3,13,707.29
Ceiling Fan,1654,10,9.3,15,2299.04
Water Cooler,1047,5,8.6,24,1080.01
Lab Equipment,75,18,7.8,23,242.44
Printer,92,9,9.5,15,118.27
Heater,1917,18,3.6,15,1864.61
Fridge,402,17,11.3,10,772.1
Lab Equipment,245,12,9,19,503.47
Lab Equipment,863,19,5.3,18,1561.65
AC (1.5 Ton),1352,6,2.1,26,449.32
Projector,1521,5,8.1,30,1853
Fridge,1046,1,9.7,19,192.19
Tube Light,815,10,8.4,10,686.16
WiFi Router,1847,3,9.4,23,1195.86
Water Cooler,188,16,2.3,24,163.85
Smartboard,1477,1,7.9,18,209.64
Computer,1560,9,7.9,15,1673.73
AC (1.5 Ton),430,19,12,26,2542.22
Printer,38,7,1.7,21,9.75
Ceiling Fan,1233,9,8.2,29,2643.21
AC (1.5 Ton),1245,4,4.6,21,482.58
AC (1.5 Ton),1625,5,10.2,18,1488.01
Heater,51,13,10.8,10,71.63
WiFi Router,762,16,11.3,14,1931.34
Computer,1914,1,2.7,24,122.39
AC (1.5 Ton),881,7,1.9,17,196.35
Water Cooler,744,14,5.1,10,536.05
Heater,1716,3,11.5,17,1004.68
Water Cooler,583,8,6.8,22,701.71
Ceiling Fan,901,20,8,23,3312.28
AC (1.5 Ton),1579,1,8.3,13,171.08
Printer,974,19,9.5,22,3880.01
Water Cooler,1852,6,1.2,23,309.15
Ceiling Fan,876,14,4.3,12,636.89
Projector,627,16,1.4,27,367.49
WiFi Router,321,19,10,27,1653.36
Smartboard,1742,16,11.4,14,4461.01
LED Light,1556,18,9.2,18,4625.68
Heater,1636,7,3.1,25,882.75
Fridge,862,11,10.4,21,2067.96
Computer,319,11,8.9,19,590.81
Heater,1592,4,8.8,16,892
Heater,1990,18,8.8,12,3761.58
Computer,1861,15,7.5,18,3781.32
Computer,535,19,1.9,18,349.55
WiFi Router,503,18,3.7,12,400.76
AC (1.5 Ton),1570,17,9.8,23,6023.56
AC (1.5 Ton),285,17,11.3,11,602.65
WiFi Router,955,8,4.1,13,403.32
Ceiling Fan,803,18,6.7,24,2312.98
Heater,831,2,7.8,28,363.01
Computer,1160,11,11.5,30,4412.34
Lab Equipment,234,10,6,27,378.4
LED Light,1665,1,3,13,65.49
Lab Equipment,189,13,10,21,516.99
Heater,1594,20,2.6,21,1735
Ceiling Fan,1596,2,3.9,14,174.64
WiFi Router,1826,20,6.9,18,4561.86
Heater,480,19,9.7,30,2655.07
Smartboard,932,10,1.3,29,347.69
Tube Light,1513,12,8.1,12,1756.89
Fridge,1032,19,6.7,30,3941.63
Computer,1945,10,2.8,24,1291.8
Heater,1153,20,5,11,1274.11
Smartboard,350,19,9.7,19,1223.13
Ceiling Fan,1567,15,4.2,27,2670.49
Lab Equipment,1192,15,11.4,23,4702.58
Projector,1851,9,9.2,20,3080.64
Heater,1863,3,5.2,25,732
LED Light,1271,4,1.2,15,88.94
Projector,710,12,6.9,10,585.38
Ceiling Fan,1891,13,7.9,10,1937.05
AC (1.5 Ton),303,12,4,11,158.92
WiFi Router,621,9,10.2,21,1196.53
Ceiling Fan,1414,17,6.8,13,2119.97
Smartboard,1297,4,3.7,17,322.03
Heater,459,10,6.3,26,749.76
Water Cooler,280,6,4.6,19,146.77
Computer,372,19,3.2,29,657.13
Projector,1850,8,10.9,16,2591.47
Fridge,1697,8,5.9,27,2172.35
Computer,361,9,1.1,11,38.16
Printer,1284,19,3.3,13,1034.21
Projector,542,7,3.1,23,268.61
Lab Equipment,1705,2,3.8,11,143.91
Ceiling Fan,1800,17,1.9,29,1693.29
Printer,346,18,11.6,21,1519.11
Water Cooler,1496,15,2.8,12,760.61
Projector,656,19,3,26,972.4
Fridge,954,19,8.1,29,4234.13
WiFi Router,657,3,4.9,26,249.48
LED Light,781,12,4.6,20,862.37
Printer,1239,14,2.1,12,443.86
AC (1.5 Ton),712,4,9.1,11,285.4
Ceiling Fan,1214,2,11.4,23,634.75
Projector,1852,9,1.9,21,650.53
Printer,739,17,2.2,30,822.43
Fridge,1714,5,1.9,15,243.48
Printer,158,7,10.3,25,284.34
LED Light,831,9,10.7,25,1996.62
Heater,1539,13,11.1,18,3999.95
LED Light,562,13,7,20,1020.58
WiFi Router,1459,5,6.3,21,965.21
Smartboard,61,6,11.2,23,94.69
WiFi Router,586,7,4.4,22,397.48
WiFi Router,19,11,8.9,27,50.22
AC (1.5 Ton),1818,18,3.5,18,2064.22
Tube Light,788,19,8.9,21,2785.83
LED Light,1286,6,6.6,14,713.1
Heater,1544,9,8.7,27,3253.98
Lab Equipment,1113,16,10.7,27,5160.24
Ceiling Fan,469,10,9,11,464.86
Computer,1664,17,4.6,22,2845.84
Ceiling Fan,1489,14,10.4,21,4538.43
Heater,416,20,7.4,15,921.46
Fridge,1846,16,2.8,14,1141.52
Projector,1691,13,2.3,26,1297.28
Tube Light,464,11,2.7,22,300.84
Printer,1365,14,1.2,15,348.47
LED Light,594,14,7,19,1105.65
Projector,736,19,10.3,28,4035.05
WiFi Router,1835,13,11.4,10,2721.89
AC (1.5 Ton),14,6,10.3,26,22.53
Smartboard,260,12,11.8,28,1026.56
Tube Light,455,2,4.9,19,84.65
LED Light,1314,8,5.2,21,1148.64
LED Light,1578,16,1.2,10,302.96
AC (1.5 Ton),1400,13,4.5,27,2234.22
Ceiling Fan,1538,3,9.8,20,904.37
Projector,276,4,8.6,26,246.42
Fridge,276,18,7.1,15,531.23
Water Cooler,1770,17,7.5,18,4058.16
Tube Light,1024,1,7.3,21,157.45
Ceiling Fan,310,18,4.8,27,722.89
Computer,1530,14,5.6,15,1789.34
Lab Equipment,266,19,3.9,15,299.09
Projector,415,7,11.1,16,515.12
WiFi Router,354,6,3.7,18,143.17
Ceiling Fan,392,9,5.9,20,413.07
Ceiling Fan,184,10,8.3,16,245.07
Water Cooler,1539,14,1.1,29,692.47
Ceiling Fan,1722,2,8.4,30,868.49
Smartboard,1865,2,5.4,20,404.88
WiFi Router,1870,4,11.3,25,2111.06
Heater,302,2,8,18,87.43
Tube Light,1293,20,1.4,20,728.82
Fridge,1681,17,11.9,15,5104.39
AC (1.5 Ton),1986,1,3.7,17,125.81
Printer,1944,8,9.3,27,3893.47
Ceiling Fan,400,3,9.3,16,178.37
Computer,380,16,9.8,18,1067.35
Projector,767,17,6,22,1709.07
AC (1.5 Ton),368,17,5.5,12,409.56
Computer,1511,3,6.4,17,493
Heater,1954,12,4.2,19,1865.71
Lab Equipment,652,5,7.7,27,679.27
Printer,1149,5,8.6,11,545.23
Lab Equipment,1783,7,11.6,16,2309.95
Printer,1205,9,8.5,16,1469.11
LED Light,1028,6,5.9,24,880.12
Ceiling Fan,1796,4,2.3,12,196.26
Heater,256,17,3.3,28,408.1
Projector,792,19,1.7,21,528.42
Smartboard,1730,15,6.9,16,2865.32
Projector,1887,6,4.5,16,815.32
LED Light,843,4,8.8,15,444.93
Lab Equipment,1104,18,7.4,15,2208.51
Fridge,1880,4,11.3,17,1446.42
AC (1.5 Ton),384,9,3.4,10,117.32
Smartboard,1412,19,1.3,10,357.19
Ceiling Fan,562,6,6.9,12,281.1
Lab Equipment,1148,1,8.8,29,294.13
AC (1.5 Ton),570,17,8,29,2247.34
Fridge,202,2,4.9,30,59.16
Lab Equipment,1581,2,3.8,28,337.54
LED Light,204,3,3.1,15,28.91
Ceiling Fan,655,11,5.4,19,739.15
AC (1.5 Ton),1946,17,6.7,28,6233.73
Smartboard,337,4,1.4,18,34.29
Printer,652,2,1.4,15,26.65
WiFi Router,1312,16,10.7,26,5842.11
Water Cooler,450,17,10.2,22,1722.75
Lab Equipment,64,2,8.2,16,16.73
Heater,703,10,4,10,279.17
Printer,628,6,4.6,21,361.62
LED Light,1162,4,7.2,29,964.17
LED Light,477,5,6.6,11,172.29
Water Cooler,1027,17,8.3,12,1749.38
Projector,1843,2,8.2,14,424.42
WiFi Router,1184,10,1.8,24,524.26
AC (1.5 Ton),1230,3,7.8,28,807.08
Fridge,209,17,9.4,27,899.78
Heater,937,10,6.5,10,605.91
Projector,1062,3,2.9,29,272.43
Smartboard,445,1,9.1,20,81
Printer,610,4,11,13,349.54
Printer,48,8,10.2,28,109.38
Water Cooler,895,8,9.8,28,1968.29
Lab Equipment,312,2,7.3,25,113.79
LED Light,1437,7,7.2,20,1448.53
Water Cooler,954,14,2.1,30,824.32
AC (1.5 Ton),353,15,6,14,441.19
WiFi Router,75,2,5.2,13,10.07
Lab Equipment,1993,6,4.2,22,1104.58
Smartboard,562,7,1.1,23,101.39
Printer,359,3,4.9,19,99.71
Printer,1368,7,1.6,13,198.1
AC (1.5 Ton),1294,9,6.1,30,2131.19
WiFi Router,959,6,4.7,17,455.21
LED Light,1894,12,5.5,17,2106.46
Ceiling Fan,1476,11,5.9,30,2853.99
Projector,1874,15,7.5,16,3360.91
Computer,1297,1,9.8,13,164.49
Heater,1206,8,4.3,10,412.06
Water Cooler,1690,16,1.5,29,1212.83
Ceiling Fan,796,2,2.8,23,104.3
Heater,571,7,7,21,585.92
Lab Equipment,1268,18,11.4,29,7567.92
Fridge,747,9,1.4,29,279.2
Ceiling Fan,150,11,6.9,10,113.58
Computer,788,16,10.4,13,1705.43
LED Light,349,7,5.8,20,282.69
Tube Light,1972,15,11,10,3259.23
Printer,220,7,11.2,12,206.8
Water Cooler,1079,19,1.3,29,799.8
Fridge,270,8,1.7,10,36.34
Smartboard,1783,14,7,13,2260.48
LED Light,45,4,6.3,18,20.56
Smartboard,1296,14,7.1,10,1286.91
Ceiling Fan,313,18,5.4,14,424.05
Fridge,1975,2,10.1,26,1032.61
Fridge,535,6,3.5,26,296.01
Ceiling Fan,646,19,11.5,11,1550.96
Fridge,1210,3,2.9,23,241.5
Computer,1784,1,7.4,17,224.69
Projector,570,12,11.7,14,1122.41
LED Light,1520,8,3.1,25,932.78
Heater,1500,5,5.1,19,733.2
Ceiling Fan,944,15,11.7,27,4469.38
AC (1.5 Ton),1592,15,10.6,30,7569.43
Tube Light,971,19,2.2,18,738.53
Water Cooler,781,13,5,30,1510.23
Smartboard,844,5,8.8,23,851.6
Computer,329,5,7.3,10,119.44
Heater,989,5,2.6,16,204.3
Heater,46,10,10.7,26,128.14
Water Cooler,547,1,1.8,14,13.44
Computer,1079,18,6.7,10,1306.77
Printer,1592,6,4.7,29,1305.49
Lab Equipment,1955,9,11.8,14,2908.14
WiFi Router,1949,19,11.8,15,6545.62
AC (1.5 Ton),1006,3,3.8,19,219.99
Printer,1948,16,10.7,14,4660.56
Computer,652,12,2.4,20,371.97
Printer,1725,14,12,16,4623.05
Lab Equipment,1340,3,8.5,13,443.23
Projector,1121,3,3.7,27,334.79
Printer,1723,3,5.1,21,552.27
Fridge,1191,13,7.6,22,2589.15
Ceiling Fan,1478,9,11.9,10,1580.46
Tube Light,1480,10,8.5,13,1634.71
Heater,1149,4,6.7,24,737.83
Smartboard,390,18,5.3,15,553.56
Water Cooler,1741,1,4.3,17,126.8
Water Cooler,1951,6,2.2,27,708.62
LED Light,1108,8,5.8,22,1135.17
Computer,71,7,1.1,10,5.37
Water Cooler,1483,2,10.5,16,497.43
Projector,50,1,2.7,28,3.8
LED Light,686,13,9,13,1043.55
Fridge,1022,4,6.3,18,460.91
Water Cooler,744,19,9.7,23,3156.35
AC (1.5 Ton),1132,4,3,27,372.86
Ceiling Fan,916,1,4.6,11,46.01
Printer,896,11,7.7,29,2214.11
Heater,1284,20,10.5,25,6730.42
AC (1.5 Ton),543,17,5,20,924.14
Lab Equipment,950,11,4.7,14,688.5
Fridge,196,10,11,12,259.72
Projector,1375,2,9.9,18,489.93
Heater,306,4,11.9,19,276.2
